Date,Open,Close,Position,Action,Q_Action,Holdings,Cash,Capitals,Returns,BuyHold_Capitals,BuyHold_Returns,Buy_Marker,Sell_Marker
2012-01-03,100.628,100.458,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-04,100.209,100.584,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-05,100.046,100.842,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-06,100.953,100.592,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-09,100.823,100.833,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-10,101.949,101.721,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-11,101.404,101.79,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-12,102.113,102.039,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-13,101.329,101.482,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-17,102.488,101.891,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-18,101.873,102.964,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-19,103.347,103.557,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-20,103.377,103.625,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-23,103.596,103.693,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-24,102.993,103.557,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-25,103.387,104.439,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-26,104.87,103.904,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-27,103.396,103.846,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-30,102.783,103.473,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,,0.0,0,0
2012-01-31,103.998,103.435,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,500000.0,0.0,0,0
2012-02-01,104.209,104.354,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,504442.40344177507,0.00888480688355009,0,0
2012-02-02,104.582,104.524,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,505264.175569198,0.001629070280008138,0,0
2012-02-03,105.55,105.98,1.0,1.0,1.0,500437.56,97.67870000010589,500535.2387000001,0.001070477400000207,512302.4121428916,0.013929815162068149,1,0
2012-02-06,105.54,105.904,1.0,0.0,0.0,500078.68799999997,97.67870000010589,500176.3667000001,-0.0007169764928681175,511935.0316623966,-0.0007171164370636252,0,0
2012-02-07,105.693,106.172,1.0,0.0,0.0,501344.184,97.67870000010589,501441.8627000001,0.0025300995493836927,513230.53125151066,0.002530593745278864,0,0
2012-02-08,106.239,106.498,1.0,0.0,0.0,502883.55600000004,97.67870000010589,502981.23470000015,0.003069891276550636,514806.4001546865,0.003070489394567222,0,0
2012-02-09,106.67,106.622,1.0,0.0,0.0,503469.084,97.67870000010589,503566.7627000001,0.001164114999934674,515405.81041233626,0.001164341114387124,0,0
2012-02-10,105.683,105.818,1.0,0.0,0.0,499672.59599999996,97.67870000010589,499770.27470000007,-0.0075391949612484055,511519.3116449944,-0.007540657650391136,0,0
2012-02-13,106.602,106.622,1.0,0.0,0.0,503469.084,97.67870000010589,503566.7627000001,0.007596466200953931,515405.81041233626,0.007597951199229014,0,0
2012-02-14,106.362,106.498,0.0,-1.0,-1.0,0.0,500832.3186080001,500832.3186080001,-0.0054301520563798744,514806.4001546865,-0.0011629870008066368,0,1
2012-02-15,106.842,105.98,1.0,1.0,1.0,495244.54000000004,61.834610000194516,495306.37461000023,-0.011033521186010012,512302.4121428916,-0.004863941106875269,1,0
2012-02-16,105.99,107.148,1.0,0.0,0.0,500702.604,61.834610000194516,500764.4386100002,0.01101957148098,517948.47005365684,0.011020947348556298,0,0
2012-02-17,107.531,107.443,1.0,0.0,0.0,502081.13899999997,61.834610000194516,502142.97361000016,0.0027528612132012627,519374.48639242037,0.002753201179676701,0,0
2012-02-21,107.711,107.491,1.0,0.0,0.0,502305.44299999997,61.834610000194516,502367.27761000016,0.0004466934952558235,519606.5161695751,0.000446748508511563,0,0
